tenure,monthly_charges,support_calls,usage_score,satisfaction,contract_type,payment_method,gender,total_charges,customer_id,churn
105.13768553801997,153.64921067401417,6.0341941488890996,354.7291256674778,19.656511119293807,Month-to-month,Mailed Check,Male,16154.322395009483,CUST00000,0
67.47348925280703,192.84732187398723,5.433260143176243,395.9975110954208,34.553181535692815,Two year,Electronic Check,Male,13012.081699897095,CUST00001,0
49.21073450742904,331.51173973253293,9.10921023053479,398.1009168990135,35.58216166178613,One year,Electronic Check,Male,16313.936210073593,CUST00002,1
50.28325991416595,219.6627588499001,7.06193273541462,470.26019728044173,14.667901207749212,One year,Electronic Check,Female,11045.359596712284,CUST00003,0
63.984182324884564,237.06455596214994,4.0468082288049825,349.87095347076666,36.52905260147217,Month-to-month,Mailed Check,Male,15168.381771450002,CUST00004,0
79.14835968888303,232.58785213782784,5.015544600431902,512.8935975072645,25.341667515383513,Month-to-month,Bank Transfer,Female,18408.946980269542,CUST00005,0
88.40892485722932,197.70531463242153,5.337679250746129,479.52173347966766,43.21017240606503,Month-to-month,Mailed Check,Female,17478.914305212635,CUST00006,0
82.17803994665027,164.28597869980456,5.741565504352787,545.4780634205964,24.33141425950684,Two year,Bank Transfer,Male,13500.699720267075,CUST00007,0
84.61136596674984,293.3410437696373,3.3129072667927897,371.03105816979166,27.296772448965974,One year,Mailed Check,Male,24819.986407461165,CUST00008,1
118.58583695268473,221.89845253467652,6.219723231649175,293.3871243752442,19.779300903781042,One year,Mailed Check,Female,26314.0137123302,CUST00009,0
136.12092841272982,153.11574405722854,5.451155161600855,371.8270482745626,27.76030795409175,Month-to-month,Bank Transfer,Female,20842.25723567587,CUST00010,0
60.45343653069794,256.33677029538933,4.642902134185216,416.327700881875,34.39781159640761,Two year,Electronic Check,Male,15496.438673536417,CUST00011,0
40.93970351652695,128.44750055861442,5.214615422757306,302.88052378992217,41.29445587614099,Two year,Bank Transfer,Male,5258.602590308604,CUST00012,0
93.33646194189988,155.16967542707457,5.973085585546795,197.5057777477528,37.56283160555646,Month-to-month,Credit Card,Male,14482.988505036103,CUST00013,0
80.3107168861247,251.24070633756477,6.919708885145653,479.3956217906485,14.751681722327161,Month-to-month,Credit Card,Female,20177.321236946158,CUST00014,0
70.72828335912916,270.273565166995,8.746983936067304,409.80038014227125,28.391930026917542,Month-to-month,Bank Transfer,Female,19115.985301613284,CUST00015,1
81.7673059408402,289.5713698526108,3.972347375245377,369.54577854804177,36.882299089273204,Month-to-month,Mailed Check,Female,23677.47079044662,CUST00016,0
41.673205632612635,268.9104058299563,6.667073667932528,434.59081256403795,13.134080965659887,Month-to-month,Credit Card,Female,11206.358638901083,CUST00017,0
38.50257185049918,250.19851421100776,4.840720462660758,621.1190912498631,32.537467956674575,Month-to-month,Credit Card,Female,9633.286270297467,CUST00018,1
